Ticker;Publico Alvo;Tipo de FII;Administrador;ultimo_rendimento_reais;ultimo_rendimento_perc;Data Pagamento;Data Base;rend_medio_12m_reais;rend_medio_12m_perc;patrimonio_por_cota;cotacao_por_vp;nro_negocios_por_mes;participacao_IFIX;Numero Cotistas;Patrimonio;Cota base
ABCP11;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;0,39;0,54;09/06/2021;31/05/2021;0,27;0,37;88,29;0,82;5093,00;0,89;19203,00;1077525130,29;72,80
AFCR11;Geral;Papel: CRIs;CM Capital Markets;1,08;0,96;09/06/2021;31/05/2021;0,82;0,73;104,61;1,07;4089,00;0,00;1665,00;124200760,61;112,00
AFHI11;Geral;Papel: CRIs;BTG Pactual;0,60;0,63;22/06/2021;15/06/2021;0,00;0,00;96,63;0,99;9103,00;0,00;3311,00;172745111,59;95,80
AFOF11;Investidor Qualificado;Papel: Fundo de Fundos;BRL Trust DTVM;8,76;0,00;03/02/2021;27/01/2021;0,00;0,00;107,06;0,00;501,00;0,00;92,00;39305966,92;0,00
AIEC11;Geral;Tijolo: Escritórios;Modal DTVM;0,57;0,65;09/06/2021;31/05/2021;0,38;0,43;100,16;0,88;4919,00;0,00;3033,00;483257233,98;88,00
ALMI11;Geral;Tijolo: Escritórios;BTG Pactual;0,37;0,00;13/04/2017;31/03/2017;0,00;0,00;2061,01;0,00;601,00;0,00;3417,00;229137188,63;0,00
ALZR11;Geral;Tijolo: Híbrido;BTG Pactual;0,67;0,56;25/06/2021;18/06/2021;0,00;0,00;102,50;1,17;35757,00;0,80;89125,00;459134472,74;119,72
ANCR11B;Geral;Tijolo: Shoppings;Genial Investimentos Corretora de Valores;37,53;1,21;25/02/2021;29/01/2021;38,89;1,26;3323,42;0,93;1,00;0,00;55,00;1499236897,56;3090,00
AQLL11;Investidor Qualificado;Papel: Fundo de Fundos;Índigo Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1481,39;0,00;10,00;0,00;37,00;145505513,48;0,00
ARCT11;Geral;Tijolo: Galpões;BTG Pactual;0,50;0,46;22/06/2021;15/06/2021;1,86;1,71;101,55;1,07;17873,00;0,00;5804,00;162232760,08;108,85
ARFI11B;Investidor Qualificado;Tijolo: Galpões;Índigo Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1179,65;0,00;1,00;0,00;28,00;134544244,43;0,00
ARRI11;Geral;Papel: CRIs;Oliveira Trust;1,12;1,11;08/06/2021;31/05/2021;0,86;0,85;96,28;1,05;2133,00;0,00;3318,00;37779634,16;100,66
ATCR11;Investidor Qualificado;Tijolo: Escritórios;RJI CTVM LTDA;0,28;0,00;09/04/2021;31/03/2021;0,14;0,00;77,35;0,00;0,00;0,00;33,00;71852847,88;0,00
ATSA11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,25;0,18;13/03/2020;28/02/2020;0,30;0,22;98,49;1,39;120,00;0,00;255,00;172476158,75;137,00
BARI11;Geral;Papel: CRIs;Oliveira Trust;1,07;1,00;22/06/2021;31/05/2021;1,24;1,15;101,79;1,05;37363,00;0,50;26905,00;471703935,45;107,07
BBFI11B;Geral;Tijolo: Escritórios;BTG Pactual;28,50;1,10;15/06/2021;31/05/2021;27,83;1,07;101,79;1,03;1647,00;0,34;7816,00;327816882,02;2600,00
BBFO11;Geral;Papel: Fundo de Fundos;BB Gestão de Recursos;0,50;0,56;15/06/2021;31/05/2021;0,20;0,22;93,04;0,96;737,00;0,00;3798,00;372529804,81;89,50
BBIM11;Geral;Papel: CRIs;BB Gestão de Recursos;0,55;0,00;15/06/2021;31/05/2021;0,50;0,00;62,59;0,00;0,00;0,00;20,00;64779558,74;0,00
BBPO11;Geral;Tijolo: Bancário;Votorantim Asset Management;1,08;0,94;15/06/2021;31/05/2021;1,17;1,01;100,43;1,15;19822,00;1,85;65740,00;1598863562,90;115,40
BBRC11;Geral;Tijolo: Bancário;Votorantim Asset Management;0,87;0,75;15/06/2021;31/05/2021;1,04;0,89;112,71;1,03;3485,00;0,00;8833,00;179216421,68;116,59
BCFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,50;0,58;15/06/2021;08/06/2021;0,53;0,62;84,04;1,02;126961,00;2,17;282484,00;2119406011,49;85,99
BCIA11;Geral;Papel: Fundo de Fundos;Banco Bradesco;0,64;0,65;29/06/2021;31/05/2021;0,73;0,74;109,97;0,89;9346,00;0,38;13361,00;408983773,55;97,74
BCRI11;Geral;Papel: CRIs;BRL Trust DTVM;1,59;1,38;15/06/2021;31/05/2021;1,11;0,96;106,40;1,09;18906,00;0,72;38613,00;468178712,47;115,60
BICE11;Geral;Papel: CRIs;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;272,14;0,00;0,00;0,00;89,00;556530,54;0,00
