"","Publico.Alvo","Tipo.de.FII","Administrador","ultimo_rendimento_reais","ultimo_rendimento_perc","Data.Pagamento","Data.Base","rend_medio_12m_reais","rend_medio_12m_perc","patrimonio_por_cota","cotacao_por_vp","nro_negocios_por_mes","participacao_IFIX","Numero.Cotistas","Patrimonio","Cota.base","fiis_clust","fiis.k6.cluster"
"ABCP11","Geral","Tijolo: Shoppings","Rio Bravo Investimentos",0.39,0.54,"09/06/2021","31/05/2021",0.27,0.37,88.29,0.82,5093,0.89,19203,1077525130.29,72.8,1,2
"AFCR11","Geral","Papel: CRIs","CM Capital Markets",1.08,0.96,"09/06/2021","31/05/2021",0.82,0.73,104.61,1.07,4089,0,1665,124200760.61,112,1,2
"AFHI11","Geral","Papel: CRIs","BTG Pactual",0.6,0.63,"22/06/2021","15/06/2021",0,0,96.63,0.99,9103,0,3311,172745111.59,95.8,2,2
"AFOF11","Investidor Qualificado","Papel: Fundo de Fundos","BRL Trust DTVM",8.76,0,"03/02/2021","27/01/2021",0,0,107.06,0,501,0,92,39305966.92,0,2,2
"AIEC11","Geral","Tijolo: Escritórios","Modal DTVM",0.57,0.65,"09/06/2021","31/05/2021",0.38,0.43,100.16,0.88,4919,0,3033,483257233.98,88,1,2
"ALMI11","Geral","Tijolo: Escritórios","BTG Pactual",0.37,0,"13/04/2017","31/03/2017",0,0,2061.01,0,601,0,3417,229137188.63,0,2,2
"ALZR11","Geral","Tijolo: Híbrido","BTG Pactual",0.67,0.56,"25/06/2021","18/06/2021",0,0,102.5,1.17,35757,0.8,89125,459134472.74,119.72,1,2
"ANCR11B","Geral","Tijolo: Shoppings","Genial Investimentos Corretora de Valores",37.53,1.21,"25/02/2021","29/01/2021",38.89,1.26,3323.42,0.93,1,0,55,1499236897.56,3090,1,5
"AQLL11","Investidor Qualificado","Papel: Fundo de Fundos","Índigo Investimentos DTVM",0,0,"00/00/0000","00/00/0000",0,0,1481.39,0,10,0,37,145505513.48,0,2,2
"ARCT11","Geral","Tijolo: Galpões","BTG Pactual",0.5,0.46,"22/06/2021","15/06/2021",1.86,1.71,101.55,1.07,17873,0,5804,162232760.08,108.85,1,2
"ARFI11B","Investidor Qualificado","Tijolo: Galpões","Índigo Investimentos DTVM",0,0,"00/00/0000","00/00/0000",0,0,1179.65,0,1,0,28,134544244.43,0,2,2
"ARRI11","Geral","Papel: CRIs","Oliveira Trust",1.12,1.11,"08/06/2021","31/05/2021",0.86,0.85,96.28,1.05,2133,0,3318,37779634.16,100.66,1,2
"ATCR11","Investidor Qualificado","Tijolo: Escritórios","RJI CTVM LTDA",0.28,0,"09/04/2021","31/03/2021",0.14,0,77.35,0,0,0,33,71852847.88,0,2,2
"ATSA11","Geral","Tijolo: Shoppings","Hedge Investments DTVM LTDA",0.25,0.18,"13/03/2020","28/02/2020",0.3,0.22,98.49,1.39,120,0,255,172476158.75,137,2,2
"BARI11","Geral","Papel: CRIs","Oliveira Trust",1.07,1,"22/06/2021","31/05/2021",1.24,1.15,101.79,1.05,37363,0.5,26905,471703935.45,107.07,1,5
"BBFI11B","Geral","Tijolo: Escritórios","BTG Pactual",28.5,1.1,"15/06/2021","31/05/2021",27.83,1.07,101.79,1.03,1647,0.34,7816,327816882.02,2600,1,2
"BBFO11","Geral","Papel: Fundo de Fundos","BB Gestão de Recursos",0.5,0.56,"15/06/2021","31/05/2021",0.2,0.22,93.04,0.96,737,0,3798,372529804.81,89.5,1,2
"BBIM11","Geral","Papel: CRIs","BB Gestão de Recursos",0.55,0,"15/06/2021","31/05/2021",0.5,0,62.59,0,0,0,20,64779558.74,0,2,2
"BBPO11","Geral","Tijolo: Bancário","Votorantim Asset Management",1.08,0.94,"15/06/2021","31/05/2021",1.17,1.01,100.43,1.15,19822,1.85,65740,1598863562.9,115.4,1,5
"BBRC11","Geral","Tijolo: Bancário","Votorantim Asset Management",0.87,0.75,"15/06/2021","31/05/2021",1.04,0.89,112.71,1.03,3485,0,8833,179216421.68,116.59,1,2
"BCFF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.5,0.58,"15/06/2021","08/06/2021",0.53,0.62,84.04,1.02,126961,2.17,282484,2119406011.49,85.99,3,1
"BCIA11","Geral","Papel: Fundo de Fundos","Banco Bradesco",0.64,0.65,"29/06/2021","31/05/2021",0.73,0.74,109.97,0.89,9346,0.38,13361,408983773.55,97.74,1,2
"BCRI11","Geral","Papel: CRIs","BRL Trust DTVM",1.59,1.38,"15/06/2021","31/05/2021",1.11,0.96,106.4,1.09,18906,0.72,38613,468178712.47,115.6,1,2
"BICE11","Geral","Papel: CRIs","BRL Trust DTVM",0,0,"00/00/0000","00/00/0000",0,0,272.14,0,0,0,89,556530.54,0,2,2
"BICR11","Geral","Papel: CRIs","Inter DTVM",0.35,0.37,"15/06/2021","31/05/2021",0.27,0.29,99.05,0.96,276,0,623,49525261.27,94.94,1,2
"BLCP11","Investidor Qualificado","Tijolo: Galpões","BTG Pactual",0.51,0.52,"21/06/2021","14/06/2021",0,0,101.45,0.97,146,0,182,194976359.83,98.48,2,2
"BLMC11","Geral","Papel: CRIs","BTG Pactual",0.78,0.76,"22/06/2021","15/06/2021",0.09,0.08,101.7,1,1,0,25,40627519.23,102,2,2
"BLMG11","Geral","Tijolo: Galpões","Vórtx DTVM LTDA",1.1,1.09,"15/06/2021","08/06/2021",0.39,0.39,99.64,1.01,8484,0,2700,379673074.25,101.08,1,2
"BLMO11","Investidor Qualificado","Tijolo: Escritórios","BRL Trust DTVM",0,0,"00/00/0000","00/00/0000",0,0,25769.52,0,1,0,95,97846867.88,0,1,2
"BLMR11","Geral","Papel: Fundo de Fundos","BRL Trust DTVM",0.65,0.78,"15/06/2021","07/06/2021",0,0,93.42,0.89,17546,0,3738,238604064.47,82.87,1,2
"BMII11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",0.23,0,"07/08/2019","31/07/2019",0.09,0,493.99,0,0,0,12,69159289.74,0,2,2
"BMLC11","Geral","Tijolo: Escritórios","BTG Pactual",0.54,0.6,"15/06/2021","08/06/2021",0.62,0.69,106.82,0.84,303,0,1596,106653765.9,89.57,1,2
"BNFS11","Geral","Tijolo: Bancário","Oliveira Trust",1.15,0.92,"15/06/2021","31/05/2021",1.09,0.87,103.73,1.2,1702,0,3368,72607805.6,124.29,1,2
"BPFF11","Geral","Papel: Fundo de Fundos","Genial Investimentos Corretora de Valores",0.57,0.72,"08/06/2021","31/05/2021",0.58,0.73,82.76,0.96,34364,0.36,19603,371794835.59,79.47,1,2
"BPML11","Geral","Tijolo: Shoppings","BTG Pactual",0.61,0.61,"25/02/2021","18/02/2021",0.14,0.14,135.79,0.74,3028,0,1172,584587292.43,99.97,1,2
"BPRP11","Investidor Qualificado","Tijolo: Galpões","BTG Pactual",0.79,0.72,"15/06/2021","08/06/2021",0.83,0.75,108.01,1.02,205,0,196,145794396.65,110,1,2
"BRCO11","Geral","Tijolo: Galpões","Oliveira Trust",0.54,0.49,"08/06/2021","31/05/2021",0.59,0.54,108.46,1.01,72100,1.64,32249,1602955497.24,109.3,4,5
"BRCR11","Geral","Tijolo: Escritórios","BTG Pactual",0.46,0.55,"15/06/2021","08/06/2021",0.5,0.6,107.8,0.77,78856,2.27,126814,2871540176.98,83.5,3,1
"BREV11","Geral","Tijolo: Escritórios","BR-CAPITAL",0.68,0.64,"15/06/2021","07/06/2021",0,0,105.43,1.01,35,0,76,98402688.55,106.51,2,2
"BRHT11B","Investidor Qualificado","Tijolo: Hotéis","BNY Mellon",0.86,0,"14/07/2014","30/06/2014",0,0,82.48,0,0,0,11,151899420.19,0,2,2
"BRIM11","Geral","Tijolo: Desenvolvimento","BRL Trust DTVM",0,0,"00/00/0000","00/00/0000",0,0,970.49,0,3,0,110,120473703.05,0,2,2
"BRIP11","Geral","Tijolo: Desenvolvimento","BRL Trust DTVM",0,0,"00/00/0000","00/00/0000",0,0,991.05,0,315,0,236,107371367.02,0,2,2
"BRLA11","Investidor Qualificado","Tijolo: Galpões","BTG Pactual",0.97,0,"22/06/2021","15/06/2021",0.48,0,125.56,0,0,0,84,122570696.66,0,2,2
"BTAL11","Geral","Tijolo: Outros","BTG Pactual",0.56,0.56,"25/06/2021","18/06/2021",0,0,100.55,1.01,25930,0,9672,601581817.76,101.08,1,2
"BTCR11","Geral","Papel: CRIs","BTG Pactual",0.67,0.71,"14/05/2021","07/05/2021",0.53,0.56,97.07,0.97,22380,0.45,8772,466929590.31,94.42,1,2
"BTLG11","Geral","Tijolo: Galpões","BTG Pactual",0.7,0.62,"25/06/2021","15/06/2021",0.62,0.55,101.09,1.12,131493,1.72,111547,1404587725.6,113.04,3,1
"BTWR11","Investidor Qualificado","Tijolo: Escritórios","BRL Trust DTVM",0,0,"00/00/0000","00/00/0000",0,0,106.72,0,0,0,53,86365770.58,0,2,2
"BVAR11","Geral","Tijolo: Varejo","Rio Bravo Investimentos",20.6,0,"23/06/2021","15/06/2021",12.46,0,1104.7,0,0,0,69,691034718.99,0,1,2
"BZLI11","Investidor Qualificado","Híbrido (Tijolo/Papel)","Índigo Investimentos DTVM",0,0,"00/00/0000","00/00/0000",0,0,11.45,0,24264,0.56,31,439665897.4,0,1,2
"CARE11","Geral","Tijolo: Outros","Planner Trustee DTVM LTDA",0,0.21,"15/06/2021","07/06/2021",0,0,1.61,0.49,10736,0,10624,288155071.03,0.79,2,2
"CBOP11","Geral","Tijolo: Escritórios","Credit Suisse Hedging-Griffo",0.49,0.68,"15/06/2021","31/05/2021",0.55,0.76,90.59,0.79,1086,0,3759,128178286.06,72,1,2
"CEOC11","Geral","Tijolo: Escritórios","BTG Pactual",0.44,0.62,"14/05/2021","07/05/2021",0.52,0.74,86.54,0.81,3149,0,6890,157128089.83,70.33,1,2
"CFHI11","Investidor Qualificado","Tijolo: Desenvolvimento","Vórtx DTVM LTDA",0,0,"00/00/0000","00/00/0000",0,0,989.69,0,0,0,57,74900061.4,0,2,2
"CJCT11","Investidor Qualificado","Tijolo: Escritórios","Hedge Investments DTVM LTDA",0.33,0.61,"09/01/2019","28/12/2018",0,0,67.35,0.8,448,0,1581,182515132.29,53.99,2,2
"CNES11","Geral","Tijolo: Escritórios","BTG Pactual",0.07,0.17,"28/05/2021","21/05/2021",0,0,87.3,0.49,737,0,2518,257473314.39,42.52,2,2
"CORM11","Investidor Qualificado","Tijolo: Desenvolvimento","BTG Pactual",1.16,1.01,"22/06/2021","15/06/2021",0.1,0.08,98.62,1.17,0,0,62,90460231.1,115,2,2
"CPFF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.8,0.95,"17/06/2021","09/06/2021",0,0,82.01,1.02,31727,0.34,11978,325884515.48,83.98,1,2
"CPTS11","Geral","Papel: CRIs","BTG Pactual",1,0.99,"18/06/2021","11/06/2021",0,0,95.06,1.07,154083,2.5,92583,2033959001.79,101.25,3,1
"CRFF11","Geral","Papel: Fundo de Fundos","Caixa Econômica Federal",0.46,0.63,"11/06/2021","01/06/2021",0.45,0.61,91.46,0.8,976,0,1869,63113822.51,73.5,1,2
"CTXT11","Geral","Tijolo: Outros","Rio Bravo Investimentos",0.05,0.21,"09/06/2021","31/05/2021",0.26,1.09,48.38,0.49,1448,0,4196,125506257.05,23.6,1,2
"CVBI11","Geral","Papel: CRIs","BRL Trust DTVM",1,0.96,"16/06/2021","09/06/2021",0,0,100.37,1.04,78135,0.99,32157,597925064.54,104.62,4,5
"CXCE11B","Geral","Tijolo: Escritórios","Caixa Econômica Federal",0.91,1.09,"15/06/2021","31/05/2021",0.95,1.14,81.1,1.03,2188,0,2930,138915815.67,83.6,1,2
"CXCO11","Geral","Tijolo: Escritórios","Vórtx DTVM LTDA",0.72,0.7,"15/06/2021","31/05/2021",0.11,0.11,100.19,1.02,3272,0,13462,393177556.14,102.38,1,2
"CXRI11","Geral","Papel: Fundo de Fundos","Caixa Econômica Federal",0.54,0.57,"11/06/2021","01/06/2021",0.78,0.82,93.11,1.03,1316,0,3048,146719618.31,95.48,1,2
"CXTL11","Geral","Tijolo: Galpões","Caixa Econômica Federal",4.68,1.27,"15/06/2021","31/05/2021",1.43,0.39,646.64,0.57,469,0,569,34657816.54,370,1,2
"DAMT11B","Geral","Tijolo: Shoppings","Banco Modal SA",0,0,"00/00/0000","00/00/0000",0,0,0.94,0,1,0,51,104806726.66,0,2,2
"DEVA11","Geral","Papel: CRIs","Vórtx DTVM LTDA",1.1,1,"15/06/2021","08/06/2021",1.04,0.94,99.81,1.1,78594,1.09,31999,960639964.75,110.02,4,5
"DMAC11","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",29.05,36.32,"15/04/2021","06/04/2021",2.65,3.31,10.72,7.46,4308,0,2072,1673504.88,79.99,5,4
"DOVL11B","Investidor Qualificado","Tijolo: Escritórios","BNY Mellon",8.72,0,"20/08/2020","12/08/2020",5.97,0,947.54,0,1,0,7,59010629.22,0,2,2
"DRIT11B","Geral","Tijolo: Escritórios","Banco Daycoval SA",0.33,0.28,"15/06/2021","07/06/2021",0,0,131.01,0.91,81,0,302,60692337.91,119,2,2
"EDFO11B","Geral","Tijolo: Escritórios","Oliveira Trust",1.36,0.54,"10/06/2021","31/05/2021",1.58,0.63,213.77,1.17,127,0,592,50449075.35,250,1,2
"EDGA11","Geral","Tijolo: Escritórios","BTG Pactual",0.1,0.38,"31/05/2021","24/05/2021",0,0,78.77,0.34,4484,0,7549,300270482.22,26.68,2,2
"ELDO11B","Geral","Tijolo: Shoppings","Rio Bravo Investimentos",3.09,0,"21/06/2021","11/06/2021",0,0,1236.59,0,0,0,61,973512484.69,0,1,2
"ERCR11","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",919.21,1.08,"24/06/2021","17/06/2021",0,0,88973.95,0.96,1,0,14,211402106.27,85227.76,6,3
"ERPA11","Investidor Qualificado","Tijolo: Escritórios","Oliveira Trust",0,0,"00/00/0000","00/00/0000",0,0,104.5,0,21,0,12,51844937.69,0,2,2
"EURO11","Geral","Tijolo: Galpões","COINVALORES",1.35,0.65,"15/06/2021","31/05/2021",1.28,0.61,283.56,0.73,1177,0,2417,108870706.82,208.29,1,2
"EVBI11","Geral","Tijolo: Outros","BRL Trust DTVM",0.64,0.63,"08/06/2021","31/05/2021",0.21,0.21,97.99,1.04,126,0,108,106070885.36,102,1,2
"FAED11","Geral","Tijolo: Educacional","BTG Pactual",1.1,0.72,"15/06/2021","08/06/2021",1.36,0.88,213.91,0.72,2045,0,5135,137364240.49,154,1,2
"FAMB11B","Geral","Tijolo: Escritórios","BTG Pactual",9.16,0.56,"13/11/2020","30/10/2020",27.24,1.65,3483.74,0.47,504,0,3669,365096455.45,1650.01,1,2
"FATN11","Geral","Tijolo: Escritórios","BR-CAPITAL",0.67,0.65,"15/06/2021","07/06/2021",0,0,100.27,1.02,231,0,219,65452316.84,102.4,2,2
"FCFL11","Geral","Tijolo: Educacional","BTG Pactual",0.64,0.58,"25/06/2021","18/06/2021",0,0,101.44,1.08,3581,0,4492,352396190.17,110,2,2
"FEXC11","Geral","Papel: CRIs","BTG Pactual",0.72,0.74,"15/06/2021","08/06/2021",0.78,0.79,92.55,1.05,7555,0,17504,564889746.62,97.58,1,2
"FIGS11","Geral","Tijolo: Shoppings","Hedge Investments DTVM LTDA",0.15,0.25,"15/06/2021","31/05/2021",0,0,94.44,0.63,11584,0.19,17985,269145540.06,59.49,2,2
"FIIB11","Geral","Tijolo: Galpões","COINVALORES",3.3,0.66,"10/06/2021","31/05/2021",2.8,0.56,442.09,1.13,3965,0.35,17975,302833973.76,501.59,1,2
"FIIP11B","Geral","Tijolo: Galpões","Oliveira Trust",1.12,0.55,"15/06/2021","31/05/2021",1.87,0.92,193.16,1.05,2054,0,9027,179093742.38,202.13,1,2
"FINF11","Investidor Qualificado","Tijolo: Galpões","Planner Trustee DTVM LTDA",0.06,0,"15/06/2021","31/05/2021",0.1,0,100.96,0,0,0,4,82794886.17,0,2,2
"FISC11","Geral","Tijolo: Escritórios","BR-CAPITAL",0.12,0,"23/06/2021","15/06/2021",0.08,0,155.22,0,2,0,65,254356373.94,0,2,2
"FISD11","Investidor Qualificado","Papel: CRIs","RJI CTVM LTDA",0,0,"00/00/0000","00/00/0000",0,0,111.06,0,1,0,25,119119345.57,0,2,2
"FIVN11","Geral","Tijolo: Shoppings","Oliveira Trust",0,0,"00/00/0000","00/00/0000",0,0,6.88,0,2340,0,2725,64797779.29,0,2,2
"FLCR11","Investidor Qualificado","Papel: CRIs","BRL Trust DTVM",1,0.98,"15/06/2021","08/06/2021",0.39,0.38,100.99,1.01,335,0,167,50492944.25,102.49,1,2
"FLMA11","Geral","Tijolo: Escritórios","BR-CAPITAL",0.4,0.29,"15/06/2021","07/06/2021",0,0,155.52,0.9,41421,0.19,74717,214724797.74,139.5,1,2
"FLRP11","Geral","Tijolo: Shoppings","BTG Pactual",4,0.3,"31/05/2021","20/05/2021",0,0,1662.33,0.8,129,0,970,108437237.85,1323,2,2
"FMOF11","Geral","Tijolo: Escritórios","COIN DTVM",0.64,0.9,"15/01/2021","30/12/2020",0.38,0.53,132.16,0.54,106,0,361,67138225.68,71.37,1,2
"FPAB11","Geral","Tijolo: Escritórios","COIN DTVM",1.2,0.45,"15/06/2021","31/05/2021",1.74,0.66,448.2,0.59,434,0,975,336149327.91,264.91,1,2
"FPNG11","Geral","Tijolo: Escritórios","BR-CAPITAL",0.52,0,"15/06/2021","07/06/2021",0,0,166.81,0,1,0,50,165220479.25,0,2,2
"FTCE11B","Investidor Qualificado","Híbrido (Tijolo/Papel)","BRL Trust DTVM",77.42,2.62,"01/03/2021","22/02/2021",102.46,3.47,2716.72,1.09,1,0,10,2381264954.43,2950.01,3,5
"FVBI11","Geral","Tijolo: Escritórios","BTG Pactual",30,18.78,"31/08/2020","21/08/2020",3.03,1.9,0,NA,2319,0,0,0,159.71,5,4
"FVPQ11","Geral","Tijolo: Shoppings","Rio Bravo Investimentos",0.43,0.31,"09/06/2021","31/05/2021",0.31,0.22,196.74,0.7,1356,0,5282,550899159.13,137.8,1,2
"GALG11","Geral","Tijolo: Galpões","BRL Trust DTVM",0.84,0.76,"15/06/2021","31/05/2021",0.39,0.36,105.4,1.05,9742,0,3920,591621104.25,110.3,1,2
"GCFF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.87,0.9,"21/06/2021","14/06/2021",0,0,95.63,1.01,671,0,1484,32379342.98,97,2,2
"GCRI11","Geral","Papel: CRIs","BTG Pactual",0.92,0.9,"21/06/2021","14/06/2021",0,0,101.18,1.01,1697,0,222,87076265.78,102.25,2,2
"GESE11B","Investidor Qualificado","Tijolo: Educacional","Oliveira Trust",8.67,0,"15/06/2021","31/05/2021",0,0,1352.6,0,1,0,55,70335173.68,0,2,2
"GGRC11","Geral","Tijolo: Galpões","CM Capital Markets",0.7,0.58,"09/06/2021","01/06/2021",0.7,0.58,124.56,0.96,71229,0.95,93758,966425568.63,120.1,4,5
"GSFI11","Geral","Tijolo: Shoppings","Planner Trustee DTVM LTDA",0,0.03,"14/07/2020","30/06/2020",0,0,13.92,0.18,2546,0,5391,953239815.02,2.51,1,2
"GTWR11","Geral","Tijolo: Escritórios","Votorantim Asset Management",0.67,0.63,"15/06/2021","31/05/2021",0.74,0.69,100.79,1.06,44200,1.29,26981,1209473424.07,107,4,5
"HAAA11","Geral","Tijolo: Escritórios","Hedge Investments DTVM LTDA",0.52,0.52,"15/06/2021","31/05/2021",0,0,96.1,1.05,88,0,90,260433878.31,100.9,2,2
"HABT11","Geral","Papel: CRIs","Vórtx DTVM LTDA",1.8,1.42,"11/06/2021","31/05/2021",0,0,100.08,1.26,29677,0.69,27842,541658651.35,126.35,1,2
"HBRH11","Geral","Tijolo: Escritórios","BRL Trust DTVM",0.66,0.7,"15/06/2021","31/05/2021",0.78,0.83,109.38,0.86,1912,0,879,245632663.72,94.08,1,2
"HCRI11","Geral","Tijolo: Hospital","BTG Pactual",3.08,0.79,"18/06/2021","11/06/2021",0,0,303.1,1.29,889,0,3213,60619598.18,391.22,2,2
"HCST11","Geral","Tijolo: Shoppings","Vórtx DTVM LTDA",0,0,"00/00/0000","00/00/0000",0,0,106.16,0,102,0,84,30461843.17,0,2,2
"HCTR11","Geral","Papel: CRIs","Vórtx DTVM LTDA",1.9,1.37,"15/06/2021","08/06/2021",2.1,1.51,116.91,1.19,94781,1.92,96170,1194309373.39,138.6,4,5
